station,metric,threshold_mm,n_years,trend,p_value,kendall_tau,sen_slope,significant_0.05
Hukahuka at Summit,annual_extreme_days,31.304999999999975,11,no trend,0.9356349784513363,0.03636363636363636,0.0,False
Kaituna Valley at Tophouse,annual_total_rainfall,33.6,52,no trend,0.6989880754224531,-0.03770739064856712,-1.368235294117649,False
Kaituna Valley at Tophouse,annual_max_daily_rainfall,33.6,52,no trend,0.5431427646472278,-0.058823529411764705,-0.13981900452488671,False
Kaituna Valley at Tophouse,annual_extreme_days,33.6,52,no trend,0.61153152341484,0.049019607843137254,0.0,False
Kaituna at Kaituna Valley Rd,annual_total_rainfall,28.5,32,no trend,0.506018838552545,-0.0846774193548387,-2.5096153846153846,False
Kaituna at Kaituna Valley Rd,annual_max_daily_rainfall,28.5,32,no trend,0.43615823814397725,0.09879032258064516,0.256578947368421,False
Kaituna at Kaituna Valley Rd,annual_extreme_days,28.5,32,no trend,0.9346757051560881,-0.012096774193548387,0.0,False
Lincoln,annual_total_rainfall,26.1,4,no trend,0.3081795474670539,-0.6666666666666666,-165.16666666666666,False
Lincoln,annual_max_daily_rainfall,26.1,4,no trend,0.7340951823194757,0.3333333333333333,1.4999999999999996,False
Lincoln,annual_extreme_days,26.1,4,no trend,0.08942935902899363,-1.0,-1.3333333333333335,False
"Lincoln, Broadfield Ews",annual_total_rainfall,25.8,19,no trend,0.8887055908352302,-0.029239766081871343,-0.9499999999999886,False
"Lincoln, Broadfield Ews",annual_max_daily_rainfall,25.8,19,no trend,0.24799581483148536,0.19883040935672514,0.7625,False
"Lincoln, Broadfield Ews",annual_extreme_days,25.8,19,no trend,0.9717138091093858,-0.011695906432748537,0.0,False
McLeans,annual_total_rainfall,30.169999999999956,6,no trend,0.2415665869689727,-0.3333333333333333,0.0,False
McLeans,annual_max_daily_rainfall,30.169999999999956,6,no trend,0.2415665869689727,-0.3333333333333333,0.0,False
McLeans,annual_extreme_days,30.169999999999956,6,no trend,0.2415665869689727,-0.3333333333333333,0.0,False
McQueens Valley,annual_total_rainfall,16.8,47,no trend,0.8257859588285852,0.02312673450508788,0.37894736842104904,False
McQueens Valley,annual_max_daily_rainfall,16.8,47,no trend,0.526059046149757,-0.06475485661424607,-0.06666666666666662,False
McQueens Valley,annual_extreme_days,16.8,47,no trend,0.4705444150304994,-0.0730804810360777,0.0,False
Motukarara,annual_total_rainfall,22.950000000000003,28,increasing,1.3410445354633538e-05,0.5,19.511826086956525,True
Motukarara,annual_max_daily_rainfall,22.950000000000003,28,increasing,7.048012184984742e-06,0.5158730158730159,1.6857142857142857,True
Motukarara,annual_extreme_days,22.950000000000003,28,increasing,9.445166296417895e-06,0.5079365079365079,0.06458333333333333,True
Rangiora,annual_total_rainfall,29.239999999999988,4,no trend,0.3081795474670539,-0.6666666666666666,-200.5,False
Rangiora,annual_max_daily_rainfall,29.239999999999988,4,no trend,0.7340951823194757,-0.3333333333333333,-21.5,False
Rangiora,annual_extreme_days,29.239999999999988,4,no trend,0.08942935902899363,-1.0,-2.0,False
Waimakariri at Kainga Yard,annual_total_rainfall,18.0,74,no trend,0.6985020602164724,-0.03109959274342836,-0.34615384615384615,False
Waimakariri at Kainga Yard,annual_max_daily_rainfall,18.0,74,no trend,0.15590293652106224,0.11292114031840059,0.1355555555555556,False
Waimakariri at Kainga Yard,annual_extreme_days,18.0,74,increasing,0.013239768018017406,0.19585338763420956,0.045454545454545456,True
