valid_time,latitude,longitude,number,expver,msl
2020-01-04 14:00:00,-43.75,172.75,0,0001,100698.0
2020-01-04 15:00:00,-43.75,172.75,0,0001,100620.75
2020-01-04 16:00:00,-43.75,172.75,0,0001,100550.44
2020-01-04 17:00:00,-43.75,172.75,0,0001,100521.375
2020-01-04 18:00:00,-43.75,172.75,0,0001,100464.06
2020-01-04 19:00:00,-43.75,172.75,0,0001,100336.875
2020-01-04 20:00:00,-43.75,172.75,0,0001,100162.875
2020-01-04 21:00:00,-43.75,172.75,0,0001,99979.06
2020-01-04 22:00:00,-43.75,172.75,0,0001,99800.0
2020-01-04 23:00:00,-43.75,172.75,0,0001,99699.44
2020-01-05 00:00:00,-43.75,172.75,0,0001,99595.5
2020-01-05 01:00:00,-43.75,172.75,0,0001,99591.125
2020-01-05 02:00:00,-43.75,172.75,0,0001,99526.375
2020-01-05 03:00:00,-43.75,172.75,0,0001,99442.69
2020-01-05 04:00:00,-43.75,172.75,0,0001,99419.69
2020-01-05 05:00:00,-43.75,172.75,0,0001,99384.56
2020-01-05 06:00:00,-43.75,172.75,0,0001,99439.94
2020-01-05 07:00:00,-43.75,172.75,0,0001,99570.69
2020-01-05 08:00:00,-43.75,172.75,0,0001,99711.44
2020-01-05 09:00:00,-43.75,172.75,0,0001,99796.56
2020-01-05 10:00:00,-43.75,172.75,0,0001,99938.94
2020-01-05 11:00:00,-43.75,172.75,0,0001,99918.75
2020-01-05 12:00:00,-43.75,172.75,0,0001,99864.75
2020-01-05 13:00:00,-43.75,172.75,0,0001,99794.375
2020-01-05 14:00:00,-43.75,172.75,0,0001,99673.81
2020-01-05 15:00:00,-43.75,172.75,0,0001,99661.44
2020-01-05 16:00:00,-43.75,172.75,0,0001,99651.25
2020-01-05 17:00:00,-43.75,172.75,0,0001,99665.31
2020-01-05 18:00:00,-43.75,172.75,0,0001,99619.94
2020-01-05 19:00:00,-43.75,172.75,0,0001,99611.31
2020-01-05 20:00:00,-43.75,172.75,0,0001,99593.875
2020-01-05 21:00:00,-43.75,172.75,0,0001,99559.44
2020-01-05 22:00:00,-43.75,172.75,0,0001,99590.5
2020-01-05 23:00:00,-43.75,172.75,0,0001,99532.06
2020-01-06 00:00:00,-43.75,172.75,0,0001,99530.75
2020-01-06 01:00:00,-43.75,172.75,0,0001,99514.375
2020-01-06 02:00:00,-43.75,172.75,0,0001,99564.56
2020-01-06 03:00:00,-43.75,172.75,0,0001,99664.375
2020-01-06 04:00:00,-43.75,172.75,0,0001,99662.06
2020-01-06 05:00:00,-43.75,172.75,0,0001,99672.625
2020-01-06 06:00:00,-43.75,172.75,0,0001,99655.44
2020-01-06 07:00:00,-43.75,172.75,0,0001,99748.125
2020-01-06 08:00:00,-43.75,172.75,0,0001,99820.25
2020-01-06 09:00:00,-43.75,172.75,0,0001,99920.75
2020-01-06 10:00:00,-43.75,172.75,0,0001,100080.81
2020-01-06 11:00:00,-43.75,172.75,0,0001,100140.69
2020-01-06 12:00:00,-43.75,172.75,0,0001,100174.0
2020-01-06 13:00:00,-43.75,172.75,0,0001,100212.81
2020-01-06 14:00:00,-43.75,172.75,0,0001,100272.625
2020-01-06 15:00:00,-43.75,172.75,0,0001,100333.31
2020-01-06 16:00:00,-43.75,172.75,0,0001,100423.69
2020-01-06 17:00:00,-43.75,172.75,0,0001,100533.875
2020-01-06 18:00:00,-43.75,172.75,0,0001,100633.25
2020-01-06 19:00:00,-43.75,172.75,0,0001,100727.0
2020-01-06 20:00:00,-43.75,172.75,0,0001,100841.875
2020-01-06 21:00:00,-43.75,172.75,0,0001,100940.5
2020-01-06 22:00:00,-43.75,172.75,0,0001,101012.06
2020-01-06 23:00:00,-43.75,172.75,0,0001,101022.875
2020-01-07 00:00:00,-43.75,172.75,0,0001,101069.44
2020-01-07 01:00:00,-43.75,172.75,0,0001,101086.25
2020-01-07 02:00:00,-43.75,172.75,0,0001,101137.44
2020-01-07 03:00:00,-43.75,172.75,0,0001,101165.94
2020-01-07 04:00:00,-43.75,172.75,0,0001,101161.125
2020-01-07 05:00:00,-43.75,172.75,0,0001,101193.31
2020-01-07 06:00:00,-43.75,172.75,0,0001,101205.44
2020-01-07 07:00:00,-43.75,172.75,0,0001,101274.81
2020-01-07 08:00:00,-43.75,172.75,0,0001,101355.81
2020-01-07 09:00:00,-43.75,172.75,0,0001,101441.94
2020-01-07 10:00:00,-43.75,172.75,0,0001,101492.875
2020-01-07 11:00:00,-43.75,172.75,0,0001,101506.81
2020-01-07 12:00:00,-43.75,172.75,0,0001,101569.56
2020-01-07 13:00:00,-43.75,172.75,0,0001,101535.31
2020-01-07 14:00:00,-43.75,172.75,0,0001,101537.375
2020-01-07 15:00:00,-43.75,172.75,0,0001,101534.44
2020-01-07 16:00:00,-43.75,172.75,0,0001,101573.94
2020-01-07 17:00:00,-43.75,172.75,0,0001,101597.06
2020-01-07 18:00:00,-43.75,172.75,0,0001,101647.625
2020-01-07 19:00:00,-43.75,172.75,0,0001,101679.44
2020-01-07 20:00:00,-43.75,172.75,0,0001,101713.06
2020-01-07 21:00:00,-43.75,172.75,0,0001,101745.875
2020-01-07 22:00:00,-43.75,172.75,0,0001,101715.19
2020-01-07 23:00:00,-43.75,172.75,0,0001,101721.31
2020-01-08 00:00:00,-43.75,172.75,0,0001,101705.75
