valid_time,number,latitude,longitude,expver,msl
2016-03-01,0,-44.0,173.0,0001,101915.06
2016-04-01,0,-44.0,173.0,0001,101823.125
2016-05-01,0,-44.0,173.0,0001,100336.94
2016-06-01,0,-44.0,173.0,0001,101505.19
2016-07-01,0,-44.0,173.0,0001,100709.5
2016-08-01,0,-44.0,173.0,0001,101542.31
2016-09-01,0,-44.0,173.0,0001,101450.81
2016-10-01,0,-44.0,173.0,0001,100762.31
2016-11-01,0,-44.0,173.0,0001,100256.125
2016-12-01,0,-44.0,173.0,0001,100927.125
2017-01-01,0,-44.0,173.0,0001,100362.31
2017-02-01,0,-44.0,173.0,0001,101508.25
2017-03-01,0,-44.0,173.0,0001,101678.5
2017-04-01,0,-44.0,173.0,0001,101613.31
2017-05-01,0,-44.0,173.0,0001,101750.06
2017-06-01,0,-44.0,173.0,0001,101726.0
2017-07-01,0,-44.0,173.0,0001,101044.31
2017-08-01,0,-44.0,173.0,0001,101080.94
2017-09-01,0,-44.0,173.0,0001,100277.125
2017-10-01,0,-44.0,173.0,0001,101304.81
2017-11-01,0,-44.0,173.0,0001,101915.06
2017-12-01,0,-44.0,173.0,0001,101276.0
2018-01-01,0,-44.0,173.0,0001,101284.19
2018-02-01,0,-44.0,173.0,0001,100955.0
2018-03-01,0,-44.0,173.0,0001,101594.19
2018-04-01,0,-44.0,173.0,0001,100970.75
2018-05-01,0,-44.0,173.0,0001,101112.69
2018-06-01,0,-44.0,173.0,0001,101679.81
2018-07-01,0,-44.0,173.0,0001,101017.44
2018-08-01,0,-44.0,173.0,0001,100865.625
2018-09-01,0,-44.0,173.0,0001,101431.125
2018-10-01,0,-44.0,173.0,0001,101625.06
2018-11-01,0,-44.0,173.0,0001,101109.56
2018-12-01,0,-44.0,173.0,0001,101243.625
2019-01-01,0,-44.0,173.0,0001,101054.31
2019-02-01,0,-44.0,173.0,0001,101360.875
2019-03-01,0,-44.0,173.0,0001,102094.625
2019-04-01,0,-44.0,173.0,0001,101962.56
2019-05-01,0,-44.0,173.0,0001,101342.875
2019-06-01,0,-44.0,173.0,0001,101459.0
2019-07-01,0,-44.0,173.0,0001,100961.25
2019-08-01,0,-44.0,173.0,0001,100453.56
2019-09-01,0,-44.0,173.0,0001,100975.75
2019-10-01,0,-44.0,173.0,0001,100935.625
2019-11-01,0,-44.0,173.0,0001,100749.5
2019-12-01,0,-44.0,173.0,0001,100735.375
2020-01-01,0,-44.0,173.0,0001,101322.125
2020-02-01,0,-44.0,173.0,0001,101353.375
2020-03-01,0,-44.0,173.0,0001,101633.31
2020-04-01,0,-44.0,173.0,0001,101142.625
2020-05-01,0,-44.0,173.0,0001,101921.19
2020-06-01,0,-44.0,173.0,0001,101843.375
2020-07-01,0,-44.0,173.0,0001,101609.0
2020-08-01,0,-44.0,173.0,0001,101028.875
2020-09-01,0,-44.0,173.0,0001,101242.0
2020-10-01,0,-44.0,173.0,0001,101901.125
2020-11-01,0,-44.0,173.0,0001,101193.375
2020-12-01,0,-44.0,173.0,0001,101193.94
2021-01-01,0,-44.0,173.0,0001,100866.94
2021-02-01,0,-44.0,173.0,0001,101771.25
