valid_time,number,latitude,longitude,expver,msl
2016-03-01,0,-43.5,172.5,0001,101904.19
2016-04-01,0,-43.5,172.5,0001,101830.125
2016-05-01,0,-43.5,172.5,0001,100384.31
2016-06-01,0,-43.5,172.5,0001,101537.69
2016-07-01,0,-43.5,172.5,0001,100740.375
2016-08-01,0,-43.5,172.5,0001,101558.31
2016-09-01,0,-43.5,172.5,0001,101453.94
2016-10-01,0,-43.5,172.5,0001,100779.69
2016-11-01,0,-43.5,172.5,0001,100257.125
2016-12-01,0,-43.5,172.5,0001,100925.0
2017-01-01,0,-43.5,172.5,0001,100375.56
2017-02-01,0,-43.5,172.5,0001,101488.625
2017-03-01,0,-43.5,172.5,0001,101680.125
2017-04-01,0,-43.5,172.5,0001,101630.31
2017-05-01,0,-43.5,172.5,0001,101772.94
2017-06-01,0,-43.5,172.5,0001,101760.875
2017-07-01,0,-43.5,172.5,0001,101086.69
2017-08-01,0,-43.5,172.5,0001,101106.19
2017-09-01,0,-43.5,172.5,0001,100296.0
2017-10-01,0,-43.5,172.5,0001,101294.31
2017-11-01,0,-43.5,172.5,0001,101899.81
2017-12-01,0,-43.5,172.5,0001,101263.375
2018-01-01,0,-43.5,172.5,0001,101263.56
2018-02-01,0,-43.5,172.5,0001,100965.375
2018-03-01,0,-43.5,172.5,0001,101601.19
2018-04-01,0,-43.5,172.5,0001,101003.375
2018-05-01,0,-43.5,172.5,0001,101149.19
2018-06-01,0,-43.5,172.5,0001,101711.19
2018-07-01,0,-43.5,172.5,0001,101047.94
2018-08-01,0,-43.5,172.5,0001,100883.75
2018-09-01,0,-43.5,172.5,0001,101445.25
2018-10-01,0,-43.5,172.5,0001,101631.44
2018-11-01,0,-43.5,172.5,0001,101093.31
2018-12-01,0,-43.5,172.5,0001,101220.25
2019-01-01,0,-43.5,172.5,0001,101053.94
2019-02-01,0,-43.5,172.5,0001,101352.125
2019-03-01,0,-43.5,172.5,0001,102082.25
2019-04-01,0,-43.5,172.5,0001,101991.19
2019-05-01,0,-43.5,172.5,0001,101361.25
2019-06-01,0,-43.5,172.5,0001,101500.25
2019-07-01,0,-43.5,172.5,0001,100990.5
2019-08-01,0,-43.5,172.5,0001,100491.44
2019-09-01,0,-43.5,172.5,0001,101003.125
2019-10-01,0,-43.5,172.5,0001,100946.625
2019-11-01,0,-43.5,172.5,0001,100762.25
2019-12-01,0,-43.5,172.5,0001,100736.125
2020-01-01,0,-43.5,172.5,0001,101297.25
2020-02-01,0,-43.5,172.5,0001,101348.5
2020-03-01,0,-43.5,172.5,0001,101631.44
2020-04-01,0,-43.5,172.5,0001,101146.75
2020-05-01,0,-43.5,172.5,0001,101933.56
2020-06-01,0,-43.5,172.5,0001,101880.875
2020-07-01,0,-43.5,172.5,0001,101635.25
2020-08-01,0,-43.5,172.5,0001,101044.375
2020-09-01,0,-43.5,172.5,0001,101277.875
2020-10-01,0,-43.5,172.5,0001,101897.125
2020-11-01,0,-43.5,172.5,0001,101198.125
2020-12-01,0,-43.5,172.5,0001,101182.56
2021-01-01,0,-43.5,172.5,0001,100867.44
2021-02-01,0,-43.5,172.5,0001,101749.125
2021-03-01,0,-43.5,172.5,0001,101508.56
2021-04-01,0,-43.5,172.5,0001,100988.94
2021-05-01,0,-43.5,172.5,0001,101582.875
2021-06-01,0,-43.5,172.5,0001,101787.56
2021-07-01,0,-43.5,172.5,0001,101128.625
2021-08-01,0,-43.5,172.5,0001,101386.31
2021-09-01,0,-43.5,172.5,0001,101160.06
2021-10-01,0,-43.5,172.5,0001,101325.81
2021-11-01,0,-43.5,172.5,0001,101503.625
2021-12-01,0,-43.5,172.5,0001,101143.31
2022-01-01,0,-43.5,172.5,0001,101687.19
2022-02-01,0,-43.5,172.5,0001,101806.125
2022-03-01,0,-43.5,172.5,0001,102014.875
2022-04-01,0,-43.5,172.5,0001,101839.31
