X,Y,OBJECTID,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,SITENUMBER
1536427,5213359,3909,Ashley at Ashley Gorge,Ashley Gorge,Ashley at Ashley Gorge,C,T,2026/04/08 23:55:00+00,0,0,0,1,2,6.5,0,0,0,9.5,260,2446415,5774982,L34:46415-74982,1536427,5213359,BW22:3642-1335,322211
1550282,5223227,3915,Okuku at Fox Creek,Fox Creek,Okuku at Fox Creek,C,T,2026/04/09 00:15:00+00,0,0,0.5,0.5,2,3.5,0,0,0,6.5,244,2460274,5784853,M34:60274-84853,1550282,5223227,BW23:5028-2322,322410
1555050,5212823,3916,Ashley at Okuku School,Okuku School,Ashley at Okuku School,C,T,2026/04/09 00:00:00+00,0,0,0,1,0.5,4.5,0,0,0,6,130,2465044,5774446,M34:65044-74446,1555050,5212823,BW23:5505-1282,322411
1568614,5198864,3939,Cust Main Drain at Threlkelds Rd,Threlkelds Rd,Cust Main Drain at Threlkelds Rd,C,T,2026/04/09 00:30:00+00,0,0,0,0.5,3.5,0,0,0,0,4,10,2478613,5760482,M35:78613-60482,1568614,5198864,BW24:6861-9886,323610
1574297,5189784,3965,"Styx at Lower Styx Rd, Spencerville (CCC)",Lower Styx Rd (CCC),"Styx at Lower Styx Rd, Spencerville (CCC)",C,T,2026/04/09 00:00:00+00,0,0,0.2,1,2.2,0.8,0,0.2,0,4.4,14,2484299,5751399,M35:84299-51399,1574297,5189784,BX24:7429-8978,324607
1570699,5189884,3966,"Styx at Tyrone St, Belfast (CCC)",Tyrone St (CCC),"Styx at Tyrone St, Belfast (CCC)",C,T,2026/04/09 00:00:00+00,0,0,0.2,0.4,6.4,0.6,0,0.2,0,7.8,19,2480699,5751499,M35:80699-51499,1570699,5189884,BX24:7069-8988,324608
1568004,5184564,3968,"Avon at Firestone Factory, Papanui (CCC)",FirestoneFactory CCC,"Avon at Firestone Factory, Papanui (CCC)",C,T,2026/04/09 00:00:00+00,0,0,0.4,0.6,2.6,0.2,0,0.2,0,4,26,2478003,5746177,M35:78003-46177,1568004,5184564,BX24:6800-8456,324610
1571972,5192819,3969,Waimakariri at Kainga Yard,Kainga Yard,Waimakariri at Kainga Yard,C,T,2026/04/09 00:30:00+00,0,0,0,1,4.5,0,0,0,0,5.5,14,2481973,5754435,M35:81973-54435,1571972,5192819,BW24:7197-9281,324611
1564901,5180987,3979,Avon at College of Education (CCC),CollegeEducation CCC,Avon at College of Education (CCC),C,T,2026/04/09 00:00:00+00,0,0,0,1.2,3,0.2,0,0,0,4.4,31,2474899,5742599,M35:74899-42599,1564901,5180987,BX24:6490-8098,325507
1569200,5180288,3999,Avon at Botanic Gardens (CCC),Botanic Gardens(CCC),Avon at Botanic Gardens (CCC),C,T,2026/04/08 23:55:00+00,0,0,0.2,0.8,1.2,0,0,0,0,2.2,17,2479199,5741899,M35:79199-41899,1569200,5180288,BX24:6920-8028,325616
1567900,5176089,4001,Heathcote at Sparks Rd (CCC),Sparks Rd (CCC),Heathcote at Sparks Rd (CCC),C,T,2026/04/09 00:00:00+00,0,0,0,1.6,2,0,0,0,0,3.6,22,2477899,5737699,M36:77899-37699,1567900,5176089,BX24:6790-7608,325618
1580295,5174690,4019,"Avon/Heathcote at Van Asch St, Sumner (CCC)",Van Asch St (CCC),"Avon/Heathcote at Van Asch St, Sumner (CCC)",C,T,2026/04/09 00:00:00+00,0,0,0.8,0.8,0,0.2,0,0,0,1.8,14,2490299,5736299,N36:90299-36299,1580295,5174690,BX24:8029-7469,325711
1527199,5171237,4024,Selwyn at Ridgens Rd,Ridgens Rd,Selwyn at Ridgens Rd,C,T,2026/04/09 00:30:00+00,0,0,0,1.5,3,4.5,0,0,0,9,120,2437184,5732848,L36:37184-32848,1527199,5171237,BX22:2719-7123,326112
1563067.374,5165567.047,4038,Halswell at Ryans Bridge,Ryans Bge,Halswell at Ryans Bridge,C,T,2026/04/09 00:30:00+00,0,2.5,0,1,0,0.5,0,0,0,4,8,2473064,5727173,M36:73064-27173,1563067,5165567,BX23:6306-6556,326512
1569400,5166693,4049,Halswell at Coopers Knob,Coopers Knob,Halswell at Coopers Knob,C,T,2026/04/09 00:25:00+00,2.5,2.5,0.5,5.5,1.5,2,0,0,0,12,400,2479399,5728299,M36:79399-28299,1569400,5166693,BX24:6940-6669,326611
1571699,5172491,4054,Heathcote at Upper Bowenvale Valley (CCC),Upper Bowenvale(CCC),Heathcote at Upper Bowenvale Valley (CCC),C,T,2026/04/08 17:30:00+00,0,0,0.2,1.4,0.4,0.6,0,0,0,2.6,351,2481699,5734099,M36:81699-34099,1571699,5172491,BX24:7169-7249,326616
1574399,5155098,4099,Kaituna at Kaituna Valley Rd,Kaituna Valley Rd,Kaituna at Kaituna Valley Rd,C,T,2026/04/09 00:05:00+00,0,0,0.5,2.5,0.5,0,0,0,0,3.5,70,2484399,5716699,M36:84399-16699,1574399,5155098,BX24:7439-5509,328711
1417662,5120611,4150,Opihi at Kimbell,Kimbell,Opihi at Kimbell,C,T,2026/04/09 00:00:00+00,0,0,2,0.5,0.5,9.5,20,0,0,32.5,482,2327624,5682236,I37:27624-82236,1417662,5120611,BY17:1766-2061,400710
1435527,5107479,4152,Opihi at Rockwood,Rockwood,Opihi at Rockwood,C,T,2026/04/09 00:00:00+00,0,0,0.5,1,1.5,7,10,0,0,20,195,2345484,5669099,J38:45484-69099,1435527,5107479,BZ18:3552-0747,400910
1413980,5104862,4161,Tengawai at MacKenzie Pass,MacKenzie Pass,Tengawai at MacKenzie Pass,C,T,2026/04/09 00:00:00+00,0,0,0,5,3,18.5,23,0,0,49.5,655,2323937,5666490,I38:23937-66490,1413980,5104862,BZ17:1398-0486,401610
