X,Y,OBJECTID,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,SITENUMBER
1618591,5302239,4880,Conway at Cloudy Range,Cloudy Range,Conway at Cloudy Range,C,T,2026/04/09 00:00:00+00,0,0,0,0,0,1,0,0,0,1,890,2528599,5863899,N31:28599-63899,1618591,5302239,BT26:1859-0223,234201
1549898.11,5144720.433,4892,Lake Ellesmere at Taumutu,Taumutu,Lake Ellesmere at Taumutu,C,T,2026/04/09 00:30:00+00,0,2.5,0,1,0,0.5,0,0,0,4,,2459887,5706320,M36:59887-06320,1549898,5144720,BY23:4989-4472,328310
1539628,5190695,4972,Waimakariri at Poyntzs Road,Poyntzs Road,Waimakariri at Poyntzs Road,C,T,2026/04/09 00:30:00+00,0,0,0.5,1,1.5,4,1,0,0,8,165,2449617,5752311,L35:49617-52311,1539628,5190695,BW22:3962-9069,324201
1634866.8,5312033.7,4973,Kahutara at Blind Saddle,Blind Saddle,Kahutara at Blind Saddle,C,T,2026/04/09 00:00:00+00,0,0,0.5,0.5,9.5,8,0,0,0,18.5,980,2544880,5873700,O31:44880-73700,1634866,5312033,BT26:3486-1203,233402
2428755,5075370,5151,Awamata (Chatham Island) at Old Hydro Intake,Old Hydro Intake,Awamata (Chatham Island) at Old Hydro Intake,C,T,2026/01/09 08:00:00+00,0,,,,,,,,,,28,3339915,5638535,,2428755,5075370,,986200
2442995.63,5076246.134,5152,Te Awainanga (Chatham Island) at John Days,John Days,Te Awainanga (Chatham Island) at John Days,C,T,2026/04/09 00:00:00+00,0,0,0,0,0,0,0,0,0,0,95,3354193,5639486,,2442995,5076246,,986109
1368471,5093297,5235,Twizel at Meridian Substation,Meridian Substation,Twizel at Meridian Substation,C,T,2026/04/09 00:00:00+00,0,0,2,0,0,1,18,0,0,21,513,2278434,5654945,H38:78434-54945,1368471,5093297,BZ15:6847-9329,402001
1494238.725,5129856.949,5257,Hinds Plains at Willowby,Willowby,Hinds Plains at Willowby,C,T,2026/04/09 00:00:00+00,0,0,0,2.5,1,3,1,0,0,7.5,71,2404208,5691462,K37:04208-91462,1494238,5129856,BY21:9423-2985,319602
1583257.968,5288000.889,5258,Waiau Uwha at Percival,Percival,Waiau Uwha at Percival,C,T,2026/04/09 00:00:00+00,0,0,0,0,1.5,0,0,0,0,1.5,340,2493255,5849652,N32:93255-49652,1583257,5288000,BU24:8325-8800,227502
2465921.604,5101393.012,5311,The Landing (Chatham Island) at Muirsons,Muirsons,The Landing (Chatham Island) at Muirsons,C,T,2024/11/20 18:45:00+00,0,,,,,,,,,,22,3377049,5664831,,2465921,5101393,,986206
1444192,5143945,5317,Hewson at Lochaber,Lochaber,Hewson at Lochaber,C,T,2026/04/09 00:05:00+00,0,0,0.5,0.5,0,3.5,3.5,0,0,8,446,2354159,5705563,J37:54159-05563,1444192,5143945,BY19:4419-4394,318013
1369573,5044752,5318,Otematata at Glen Bouie,Glen Bouie,Otematata at Glen Bouie,C,T,2026/04/09 00:00:00+00,0,0,1,0.5,0,0.5,19.5,0,0,21.5,1053,2279509,5606416,H40:79509-06416,1369573,5044752,CB15:6957-4475,407010
1593893,5246062,5319,Waikari at Pannetts Rd,Pannetts Rd,Waikari at Pannetts Rd,C,T,2026/04/09 00:00:00+00,0,0,0,0,0.5,1.5,0,0,0,2,,2503899,5807699,N33:03899-07699,1593893,5246062,BV25:9389-4606,229910
1404177,5026388,5353,Otekaieke at Otekaieke,Otekaieke,Otekaieke at Otekaieke,C,T,2026/04/09 00:00:00+00,0,0,0,0,0,1.5,14,0,0,15.5,290,2314091,5588031,I41:14091-88031,1404177,5026388,CB17:0417-2638,408504
1597244,5149298,5413,Akaroa at Akaroa EWS (ESNZ),Akaroa EWS (ESNZ),Akaroa at Akaroa EWS (ESNZ),C,T,2026/04/08 23:00:00+00,0,0,0.6,1.2,3,0,0,0,0,4.8,45,2507254,5710895,N36:07254-10895,1597244,5149298,BY25:9724-4929,328905
1587591,5155674,5414,Wairewa at Christchurch Akaroa Highway (CCC),ChChAkaroa H/way CCC,Wairewa at Christchurch Akaroa Highway (CCC),C,T,2026/04/09 00:00:00+00,0,0,0.4,0.8,2.8,0.2,0,0,0,4.2,270,2497597,5717274,N36:97597-17274,1587591,5155674,BX24:8759-5567,327804
1608890,5287794,5418,Mason at Mason Airstrip,Mason Airstrip,Mason at Mason Airstrip,C,T,2026/04/09 00:30:00+00,0,0,0,0,1,1,0,0,0,2,794,2518897,5849448,N32:18897-49448,1608890,5287794,BU25:0889-8779,235113
1474455,5166857,5475,Bowyers at Staveley Camp,Staveley Camp,Bowyers at Staveley Camp,C,T,2026/04/09 00:00:00+00,0,0,0,0.5,1,6.5,5,0,0,13,395,2384428,5728472,K36:84428-28472,1474455,5166857,BX20:7445-6685,316404
1450610.731,5194285.938,5497,Lake Stream at Lake Stream,Lake Stream,Lake Stream at Lake Stream,C,T,2026/04/09 00:05:00+00,0,0,5.5,4.5,0,5.5,10.5,0,0,26,682,2360583,5755906,J35:60583-55906,1450610,5194285,BW19:5061-9428,313101
2437314,5080471,5501,Waitangi (Chatham Island) at Met Station,Waitangi Met Station,Waitangi (Chatham Island) at Met Station,C,T,2026/04/09 01:15:00+00,0,3,0,0,0,0,0,0,0.5,3,47,3348473,5643694,,2437314,5080471,,986207
1594464,5156604,5516,Duvauchelle CWS at Akaroa Golf Course (CCC),AkaroaGolfCourse CCC,Duvauchelle CWS at Akaroa Golf Course (CCC),C,T,2026/04/09 00:10:00+00,0,0.2,2.6,0.6,2.2,0,0,0,0,5.6,,2504473,5718204,N36:04473-18204,1594464,5156604,BX25:9446-5660,327902
1568585,5174400,5517,Upper Cashmere at Worsleys Rd (CCC),Worsleys Rd (CCC),Upper Cashmere at Worsleys Rd (CCC),C,T,2026/04/09 00:00:00+00,0,0,0.2,1.2,0.4,0,0,0,0,1.8,,2478584,5736009,M36:78584-36009,1568585,5174400,BX24:6858-7440,326617
1482748,5244677,5521,Bealey River at Arthur's Pass EWS (ESNZ),Arthur's Pass (ESNZ),Bealey River at Arthur's Pass EWS (ESNZ),C,T,2026/04/09 00:00:00+00,0,6.4,37.6,9.6,0,8,29.2,2.4,0,93.2,745,2392721,5806304,K33:92721-06304,1482748,5244677,BV20:8274-4467,219506
1447887,5086214,5528,Washdyke at Hadlow Road,Hadlow Road,Washdyke at Hadlow Road,T,T,2026/04/09 00:00:00+00,0,0,0,2,1,9.5,10,0,0,22.5,,2357836,5647829,J39:57836-47829,1447887,5086214,BZ19:4788-8621,413001
